HGNC ID	Gene group ID	Pubmed IDs	NCBI Gene ID
HGNC:3336	915	7601460, 9500513, 25713288	2015
HGNC:3337	915|471	25713288	30817
HGNC:23647	915	11279179, 12975309, 25713288	84658
HGNC:19240	915	12565841, 25713288	326342
HGNC:1711	915|471	7636245, 8786105, 25713288	976
HGNC:18990	916	12435584, 14623098, 25713288	266977
HGNC:18991	916	12435584, 25713288	222611
HGNC:18989	916	12435584, 25713288	165082
HGNC:19011	916	12435584, 25713288	221393
HGNC:19030	594|593|916	12435584, 25713288	221395
HGNC:40864	1987		101926962
HGNC:32922			389740
HGNC:32921			441416
HGNC:4512	917	10049584, 10100861, 25713288	9289
HGNC:4516	917	9739419, 9150425, 25713288	10149
HGNC:13728	917	12435584, 25713288	222487
HGNC:18992	917	12435584, 25713288	139378
HGNC:19010	917	12435584, 25713288	221188
HGNC:13841	917	12565841, 25118328, 25713288	57211
HGNC:19241	917	25713288	84873
HGNC:20973	918	10994649, 25713288	22859
HGNC:18582	918	10760572, 25713288	23266
HGNC:20974	918	10994649, 25713288	23284
HGNC:50604	1987		101927186
HGNC:20822	918	11050079, 25713288	64123
HGNC:17416	1244|919	10976914, 14740321, 25713288	84059
HGNC:249	397	3006456	124
HGNC:250	397	3006456	125
HGNC:251	397	3006456	126
HGNC:252	397		127
HGNC:253	397	1446828, 6424546	128
HGNC:254		1446828	
HGNC:22976			343296
HGNC:22991			100131810
HGNC:21377			642443
HGNC:54523			
HGNC:255	397	1881901	130
HGNC:256	397	8195208	131
HGNC:16354	397	12592711	137872
HGNC:30576		14718544, 15938715	55256
HGNC:52339			100130936
HGNC:52340			100288971
HGNC:52341			100288129
HGNC:28606		15567149, 16132694	149685
HGNC:13633	1372	7592907, 8631877	9370
HGNC:40648	1987		100874095
HGNC:24040	293|930	12802337	51094
HGNC:44910			645220
HGNC:44911			390503
HGNC:24041	293|930	12802337	79602
HGNC:16477			
HGNC:24043		8619847, 23239344	10974
HGNC:45127	1987		100133190
HGNC:257		8577746	132
HGNC:258			
HGNC:259	1902	7688224	133
HGNC:28898	1902	14706825	79924
HGNC:27293		18434369	199800
HGNC:260			
HGNC:261			
HGNC:15766	529	9872452, 11013255	23394
HGNC:51227	1987		101927631
HGNC:23803	529|28	18179478	22850
HGNC:23506		17581819	84890
HGNC:262	211	1662665, 2541503	134
HGNC:263	211	1662665, 2541503	135
HGNC:37122	1987	19726446	646023
HGNC:264	211	7558011	136
HGNC:265		7558011	137
HGNC:266			
HGNC:267			
HGNC:268	211|590	7607699	140
HGNC:25250		11230166	83440
HGNC:44144	1987	29667486, 31264061	100287559
HGNC:269		8349667, 12070318	141
HGNC:21303		12070318, 27217161	113622
HGNC:30925	1073	18352857	56985
HGNC:21304		12070318, 16278211, 30472116	54936
HGNC:277	169	16685204	148
HGNC:278	169	7698768	147
HGNC:279			
HGNC:280	169	8039425	146
HGNC:281	169	9344667	150
HGNC:282	169	2164221	151
HGNC:283	169	1849485	152
HGNC:284			
HGNC:285	169		153
HGNC:286	169		154
HGNC:287			
HGNC:288	169	7898940, 15123695	155
HGNC:15759		8033103	11047
HGNC:291	1569	8404037	158
HGNC:20093		15786719, 26506222	122622
HGNC:292		2004783, 1592113	159
HGNC:293			
HGNC:294			
HGNC:295			
HGNC:296			
HGNC:299			
HGNC:300			
HGNC:21214		21868574	84830
HGNC:301			
HGNC:302			
HGNC:303	1321|1691	8920928	165
HGNC:24051		10329662	121536
HGNC:305			
HGNC:25722	1691|544	18264133, 16171785	64782
HGNC:306			
HGNC:308			
HGNC:309		180537	
HGNC:310		8135297	
HGNC:24017	682	14755689, 11641786, 11607843	60312
